timestamp,cpu_percent,mem_usage,mem_percent,net_io,block_io,pids
2026-03-16T00:05:35.9905015+02:00,103.95%,164.7MiB / 3.672GiB,4.38%,175MB / 93.2MB,13MB / 3.64MB,21
2026-03-16T00:05:38.1990447+02:00,101.64%,164.4MiB / 3.672GiB,4.37%,176MB / 93.4MB,13MB / 3.64MB,21
2026-03-16T00:05:40.4145357+02:00,103.96%,163.7MiB / 3.672GiB,4.35%,176MB / 93.5MB,13MB / 3.64MB,21
2026-03-16T00:05:43.6394566+02:00,105.49%,164.2MiB / 3.672GiB,4.37%,176MB / 93.8MB,13MB / 3.64MB,21
2026-03-16T00:05:45.8149482+02:00,103.06%,164.6MiB / 3.672GiB,4.38%,177MB / 94MB,13MB / 3.64MB,22
2026-03-16T00:05:48.0012959+02:00,103.05%,163.9MiB / 3.672GiB,4.36%,177MB / 94.2MB,13MB / 3.64MB,21
2026-03-16T00:05:50.2738581+02:00,109.81%,164.3MiB / 3.672GiB,4.37%,177MB / 94.3MB,13MB / 3.64MB,22
2026-03-16T00:05:53.4224484+02:00,103.27%,164.1MiB / 3.672GiB,4.36%,177MB / 94.6MB,13MB / 3.64MB,21
2026-03-16T00:05:55.6053093+02:00,103.15%,164.1MiB / 3.672GiB,4.36%,178MB / 94.8MB,13MB / 3.64MB,22
2026-03-16T00:05:57.7986320+02:00,102.92%,164MiB / 3.672GiB,4.36%,178MB / 95MB,13MB / 3.64MB,21
2026-03-16T00:06:00.1236542+02:00,108.20%,163.7MiB / 3.672GiB,4.35%,178MB / 95.1MB,13MB / 3.64MB,22
2026-03-16T00:06:03.3456993+02:00,102.95%,164.5MiB / 3.672GiB,4.38%,179MB / 95.4MB,13MB / 3.64MB,21
2026-03-16T00:06:05.5575690+02:00,103.58%,163.6MiB / 3.672GiB,4.35%,179MB / 95.6MB,13MB / 3.64MB,21
2026-03-16T00:06:07.6978503+02:00,102.39%,164.4MiB / 3.672GiB,4.37%,179MB / 95.7MB,13MB / 3.64MB,22
2026-03-16T00:06:09.9799402+02:00,104.22%,164MiB / 3.672GiB,4.36%,179MB / 95.9MB,13MB / 3.64MB,22
2026-03-16T00:06:13.1737369+02:00,104.17%,164MiB / 3.672GiB,4.36%,180MB / 96.2MB,13MB / 3.64MB,21
2026-03-16T00:06:15.3366359+02:00,103.26%,164.4MiB / 3.672GiB,4.37%,180MB / 96.4MB,13MB / 3.64MB,22
2026-03-16T00:06:17.4964228+02:00,103.61%,164.2MiB / 3.672GiB,4.37%,180MB / 96.6MB,13MB / 3.64MB,22
2026-03-16T00:06:19.6956897+02:00,102.56%,163.8MiB / 3.672GiB,4.36%,181MB / 96.7MB,13MB / 3.64MB,21
2026-03-16T00:06:22.8977486+02:00,106.08%,164MiB / 3.672GiB,4.36%,181MB / 97MB,13MB / 3.64MB,22
2026-03-16T00:06:25.0511515+02:00,104.54%,163.8MiB / 3.672GiB,4.36%,181MB / 97.2MB,13MB / 3.64MB,22
2026-03-16T00:06:27.2110438+02:00,102.94%,164.6MiB / 3.672GiB,4.38%,182MB / 97.4MB,13MB / 3.64MB,21
2026-03-16T00:06:29.4341548+02:00,103.51%,163.8MiB / 3.672GiB,4.36%,182MB / 97.5MB,13MB / 3.64MB,21
2026-03-16T00:06:32.7045407+02:00,105.93%,163.9MiB / 3.672GiB,4.36%,182MB / 97.8MB,13MB / 3.64MB,21
2026-03-16T00:06:34.8901671+02:00,100.83%,164.2MiB / 3.672GiB,4.37%,182MB / 97.9MB,13MB / 3.64MB,22
2026-03-16T00:06:37.0594046+02:00,100.74%,164.5MiB / 3.672GiB,4.37%,183MB / 98.2MB,13MB / 3.64MB,21
2026-03-16T00:06:39.2638840+02:00,105.20%,163.8MiB / 3.672GiB,4.36%,183MB / 98.4MB,13MB / 3.64MB,22
2026-03-16T00:06:42.4425875+02:00,102.61%,164.3MiB / 3.672GiB,4.37%,183MB / 98.6MB,13MB / 3.64MB,21
2026-03-16T00:06:44.6043023+02:00,101.93%,164MiB / 3.672GiB,4.36%,184MB / 98.8MB,13MB / 3.64MB,21
2026-03-16T00:06:46.7714891+02:00,104.83%,164.1MiB / 3.672GiB,4.36%,184MB / 99MB,13MB / 3.64MB,21
2026-03-16T00:06:48.9376181+02:00,105.99%,164.2MiB / 3.672GiB,4.37%,184MB / 99.2MB,13MB / 3.64MB,21
2026-03-16T00:06:52.2688097+02:00,0.45%,163.5MiB / 3.672GiB,4.35%,184MB / 99.3MB,13MB / 3.64MB,21
2026-03-16T00:06:54.5026829+02:00,0.47%,163.5MiB / 3.672GiB,4.35%,184MB / 99.3MB,13MB / 3.64MB,21
2026-03-16T00:06:56.6699656+02:00,1.03%,163.5MiB / 3.672GiB,4.35%,184MB / 99.3MB,13MB / 3.64MB,21
2026-03-16T00:06:58.7918687+02:00,1.07%,163.5MiB / 3.672GiB,4.35%,184MB / 99.3MB,13MB / 3.64MB,21
2026-03-16T00:07:02.1017831+02:00,0.35%,163.5MiB / 3.672GiB,4.35%,184MB / 99.3MB,13MB / 3.64MB,21
2026-03-16T00:07:04.2490596+02:00,0.38%,163.5MiB / 3.672GiB,4.35%,184MB / 99.3MB,13MB / 3.64MB,21
