timestamp,cpu_percent,mem_usage,mem_percent,net_io,block_io,pids
2026-03-16T00:30:05.7489557+02:00,206.30%,378.9MiB / 3.672GiB,10.08%,29MB / 20MB,118MB / 0B,46
2026-03-16T00:30:07.8933618+02:00,207.93%,379MiB / 3.672GiB,10.08%,30MB / 20.7MB,118MB / 0B,47
2026-03-16T00:30:10.0678185+02:00,203.36%,378.6MiB / 3.672GiB,10.07%,31.6MB / 21.3MB,118MB / 0B,47
2026-03-16T00:30:13.2285045+02:00,230.76%,379.3MiB / 3.672GiB,10.09%,34.7MB / 22.4MB,118MB / 0B,46
2026-03-16T00:30:15.3889575+02:00,201.89%,378.9MiB / 3.672GiB,10.08%,36.6MB / 23MB,118MB / 0B,47
2026-03-16T00:30:17.5516687+02:00,202.78%,379.3MiB / 3.672GiB,10.09%,38.5MB / 23.7MB,118MB / 0B,47
2026-03-16T00:30:19.9032688+02:00,178.31%,379MiB / 3.672GiB,10.08%,39.7MB / 24.2MB,118MB / 0B,45
2026-03-16T00:30:22.9116840+02:00,268.76%,379.2MiB / 3.672GiB,10.08%,40.5MB / 24.4MB,118MB / 0B,46
2026-03-16T00:30:26.4105206+02:00,209.89%,379.4MiB / 3.672GiB,10.09%,41.6MB / 25.1MB,118MB / 0B,46
2026-03-16T00:30:28.5691280+02:00,227.00%,379.4MiB / 3.672GiB,10.09%,42.6MB / 25.9MB,118MB / 0B,46
2026-03-16T00:30:31.6829214+02:00,201.39%,379.4MiB / 3.672GiB,10.09%,44.1MB / 26.9MB,118MB / 0B,45
2026-03-16T00:30:33.8083277+02:00,206.23%,380.1MiB / 3.672GiB,10.11%,45.5MB / 27.8MB,118MB / 0B,46
2026-03-16T00:30:35.9375469+02:00,203.03%,379.8MiB / 3.672GiB,10.10%,46.8MB / 28.7MB,118MB / 0B,46
2026-03-16T00:30:38.0774800+02:00,206.66%,379.7MiB / 3.672GiB,10.10%,48.2MB / 29.7MB,118MB / 0B,46
2026-03-16T00:30:41.3230474+02:00,202.25%,379.6MiB / 3.672GiB,10.10%,49.7MB / 30.7MB,118MB / 0B,45
2026-03-16T00:30:43.4588939+02:00,207.12%,379.9MiB / 3.672GiB,10.10%,50.8MB / 31.5MB,118MB / 0B,45
2026-03-16T00:30:45.5813394+02:00,205.15%,379.7MiB / 3.672GiB,10.10%,52.1MB / 32.3MB,118MB / 0B,46
2026-03-16T00:30:47.6817136+02:00,204.06%,379.9MiB / 3.672GiB,10.10%,53.2MB / 33.1MB,118MB / 0B,46
